Unnamed: 0,INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,DEP_INC_PCT_H2,MD_INC_WDRAW_2YR_TRANS_YR4_RT,IND_COMP_4YR_TRANS_YR4_RT,SD_EARN_WNE_P10,FEMALE_WDRAW_4YR_TRANS_YR6_RT,LO_INC_COMP_2YR_TRANS_YR3_RT,NOLOAN_COMP_ORIG_YR4_RT,OPENADMP,PELL_COMP_4YR_TRANS_YR3_RT,DEATH_YR2_RT,NOLOAN_UNKN_ORIG_YR2_RT,NOT1STGEN_WDRAW_ORIG_YR6_RT,HI_INC_YR8_N,CUML_DEBT_P90,C100_L4
1,Alabama A & M University,Normal,AL,35762,1,0.9027,929.0,9857.0,18236.0,4824.0,5,,,,,,,,2.0,,,,,,,
2,University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,0.9181,1195.0,8328.0,19032.0,12866.0,5,,,,,,,,2.0,,,,,,,
3,Amridge University,Montgomery,AL,36117-3553,2,,,6900.0,6900.0,322.0,5,,,,,,,,1.0,,,,,,,
4,University of Alabama in Huntsville,Huntsville,AL,35899,1,0.8123,1322.0,10280.0,21480.0,6917.0,5,,,,,,,,2.0,,,,,,,
5,Alabama State University,Montgomery,AL,36104-0271,1,0.9787,935.0,11068.0,19396.0,4189.0,5,,,,,,,,2.0,,,,,,,
6,The University of Alabama,Tuscaloosa,AL,35487-0166,1,0.533,1278.0,10780.0,28100.0,32387.0,5,,,,,,,,2.0,,,,,,,
7,Central Alabama Community College,Alexander City,AL,35010,1,,,4440.0,8010.0,1404.0,5,,,,,,,,1.0,,,,,,,0.1856
8,Athens State University,Athens,AL,35611,1,,,,,2801.0,5,,,,,,,,,,,,,,,
9,Auburn University at Montgomery,Montgomery,AL,36117-3596,1,0.8254,1083.0,8020.0,17140.0,4211.0,5,,,,,,,,2.0,,,,,,,
10,Auburn University,Auburn,AL,36849,1,0.8393,1282.0,10968.0,29640.0,23391.0,5,,,,,,,,2.0,,,,,,,
11,Birmingham Southern College,Birmingham,AL,35254,2,0.6186,1231.0,35804.0,35804.0,1283.0,5,,,,,,,,2.0,,,,,,,
12,Chattahoochee Valley Community College,Phenix City,AL,36869,1,,,4314.0,7884.0,1370.0,5,,,,,,,,1.0,,,,,,,0.1157
13,Concordia College Alabama,Selma,AL,36701,2,,,10320.0,10320.0,389.0,5,,,,,,,,1.0,,,,,,,
14,South University-Montgomery,Montgomery,AL,36116,3,,,17014.0,17014.0,369.0,5,,,,,,,,1.0,,,,,,,
15,Enterprise State Community College,Enterprise,AL,36330-1300,1,,,4440.0,8010.0,1365.0,5,,,,,,,,1.0,,,,,,,0.1076
16,Coastal Alabama Community College,Bay Minette,AL,36507-2698,1,,,4380.0,7890.0,4101.0,5,,,,,,,,1.0,,,,,,,0.0176
17,Faulkner University,Montgomery,AL,36109-3390,2,0.5101,1031.0,20970.0,20970.0,2272.0,5,,,,,,,,2.0,,,,,,,
18,Gadsden State Community College,Gadsden,AL,35903,1,,,3600.0,6456.0,4349.0,5,,,,,,,,1.0,,,,,,,0.0948
19,New Beginning College of Cosmetology,Albertville,AL,35951,3,,,,,83.0,5,,,,,,,,1.0,,,,,,,0.4138
20,George C Wallace Community College-Dothan,Dothan,AL,36303-9234,1,,,4380.0,7950.0,3836.0,5,,,,,,,,1.0,,,,,,,0.1158
21,George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,1,,,3726.0,6582.0,4805.0,5,,,,,,,,1.0,,,,,,,0.1415
22,George C Wallace State Community College-Selma,Selma,AL,36703-2808,1,,,4140.0,7710.0,1217.0,5,,,,,,,,1.0,,,,,,,0.0261
23,Herzing University-Birmingham,Birmingham,AL,35209,2,0.757,,13850.0,13850.0,537.0,5,,,,,,,,2.0,,,,,,,
24,Huntingdon College,Montgomery,AL,36106-2148,2,0.5598,1085.0,26400.0,26400.0,1099.0,5,,,,,,,,2.0,,,,,,,
25,Heritage Christian University,Florence,AL,35630-9977,2,1.0,1030.0,11232.0,11232.0,59.0,5,,,,,,,,2.0,,,,,,,
26,J. F. Drake State Community and Technical College,Huntsville,AL,35811,1,,,4410.0,7980.0,685.0,5,,,,,,,,1.0,,,,,,,0.0897
27,J F Ingram State Technical College,Deatsville,AL,36022,1,,,4968.0,4968.0,449.0,5,,,,,,,,1.0,,,,,,,0.3534
28,Jacksonville State University,Jacksonville,AL,36265,1,0.5402,1121.0,8166.0,15582.0,6622.0,5,,,,,,,,2.0,,,,,,,
29,Jefferson Davis Community College,Brewton,AL,36426,1,,,4088.0,7598.0,720.0,5,,,,,,,,1.0,,,,,,,0.2047
30,Jefferson State Community College,Birmingham,AL,35215-3098,1,,,4500.0,8070.0,7052.0,5,,,,,,,,1.0,,,,,,,0.0456
31,John C Calhoun State Community College,Tanner,AL,35671,1,,,4520.0,8090.0,8247.0,5,,,,,,,,1.0,,,,,,,0.1509
32,Judson College,Marion,AL,36756,2,0.507,1085.0,17896.0,17896.0,315.0,5,,,,,,,,2.0,,,,,,,
33,Lawson State Community College,Birmingham,AL,35221-1717,1,,,4440.0,8010.0,3034.0,5,,,,,,,,1.0,,,,,,,0.1032
34,University of West Alabama,Livingston,AL,35470,1,0.2821,1041.0,9204.0,16818.0,2106.0,5,,,,,,,,2.0,,,,,,,
35,Lurleen B Wallace Community College,Andalusia,AL,36420-1418,1,,,4440.0,8010.0,1354.0,5,,,,,,,,1.0,,,,,,,0.222
36,Marion Military Institute,Marion,AL,36756-3207,1,0.5587,1138.0,9418.0,15418.0,444.0,5,,,,,,,,2.0,,,,,,,0.3116
37,Miles College,Fairfield,AL,35064-2621,2,,,11794.0,11794.0,1647.0,5,,,,,,,,1.0,,,,,,,
38,University of Mobile,Mobile,AL,36613-2842,2,0.4702,1113.0,22210.0,22210.0,1276.0,5,,,,,,,,2.0,,,,,,,
39,University of Montevallo,Montevallo,AL,35115-6000,1,0.6445,1143.0,12400.0,25030.0,2329.0,5,,,,,,,,2.0,,,,,,,
40,Northwest-Shoals Community College,Muscle Shoals,AL,35661,1,,,4411.0,7921.0,2698.0,5,,,,,,,,1.0,,,,,,,0.1372
41,University of North Alabama,Florence,AL,35632-0001,1,0.7022,1104.0,8480.0,15128.0,5771.0,5,,,,,,,,2.0,,,,,,,
42,Northeast Alabama Community College,Rainsville,AL,35986,1,,,4440.0,8010.0,1983.0,5,,,,,,,,1.0,,,,,,,0.1873
43,Oakwood University,Huntsville,AL,35896,2,0.4707,1005.0,16720.0,16720.0,1623.0,5,,,,,,,,2.0,,,,,,,
44,Alabama Southern Community College,Monroeville,AL,36460,1,,,4380.0,7890.0,765.0,5,,,,,,,,1.0,,,,,,,0.303
45,Reid State Technical College,Evergreen,AL,36401,1,,,4500.0,8070.0,285.0,5,,,,,,,,1.0,,,,,,,0.1519
46,Bishop State Community College,Mobile,AL,36603-5898,1,,,4440.0,8010.0,2623.0,5,,,,,,,,1.0,,,,,,,0.1067
47,Samford University,Birmingham,AL,35229-2240,2,0.8319,1230.0,30490.0,30490.0,3364.0,5,,,,,,,,2.0,,,,,,,
48,Selma University,Selma,AL,36701,2,,,7115.0,7115.0,311.0,5,,,,,,,,1.0,,,,,,,
49,Shelton State Community College,Tuscaloosa,AL,35405-8522,1,,,4189.0,7759.0,4230.0,5,,,,,,,,1.0,,,,,,,0.0682
50,Snead State Community College,Boaz,AL,35957-0734,1,,,4500.0,8070.0,1891.0,5,,,,,,,,1.0,,,,,,,0.3112
51,University of South Alabama,Mobile,AL,36688-0002,1,0.8208,1142.0,7812.0,15324.0,10712.0,5,,,,,,,,2.0,,,,,,,
52,Spring Hill College,Mobile,AL,36608-1791,2,0.4568,1156.0,37584.0,37584.0,1375.0,5,,,,,,,,2.0,,,,,,,
53,Stillman College,Tuscaloosa,AL,35401,2,0.4812,,10792.0,10792.0,633.0,5,,,,,,,,2.0,,,,,,,
54,Talladega College,Talladega,AL,35160,2,,,12340.0,12340.0,782.0,5,,,,,,,,1.0,,,,,,,
55,H Councill Trenholm State Community College,Montgomery,AL,36108-3199,1,,,4350.0,7920.0,1610.0,5,,,,,,,,1.0,,,,,,,0.2096
56,Troy University,Troy,AL,36082-0001,1,0.8812,1085.0,8692.0,16276.0,13634.0,5,,,,,,,,2.0,,,,,,,
57,Tuskegee University,Tuskegee,AL,36088-1920,2,0.5032,1036.0,22170.0,22170.0,2833.0,5,,,,,,,,2.0,,,,,,,
58,United States Sports Academy,Daphne,AL,36526-7055,2,,,,,88.0,5,,,,,,,,,,,,,,,
59,Bevill State Community College,Jasper,AL,35501,1,,,4766.0,8574.0,3029.0,5,,,,,,,,1.0,,,,,,,0.111
60,University of Alaska Anchorage,Anchorage,AK,99508,1,0.8283,,6690.0,19494.0,11332.0,8,,,,,,,,2.0,,,,,,,
61,Alaska Bible College,Palmer,AK,99645,2,,,9350.0,9350.0,31.0,8,,,,,,,,1.0,,,,,,,
62,University of Alaska Fairbanks,Fairbanks,AK,99775,1,0.767,1094.0,6262.0,19183.0,4910.0,8,,,,,,,,2.0,,,,,,,
63,University of Alaska Southeast,Juneau,AK,99801-8697,1,0.7105,,6828.0,19533.0,1214.0,8,,,,,,,,2.0,,,,,,,
64,Alaska Pacific University,Anchorage,AK,99508,2,0.86,,20760.0,20760.0,247.0,8,,,,,,,,2.0,,,,,,,
65,AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,1,,,,,967.0,8,,,,,,,,1.0,,,,,,,0.901
66,Charter College,Vancouver,WA,98683-7575,3,,,21908.0,21908.0,2640.0,8,,,,,,,,2.0,,,,,,,
67,Alaska Career College,Anchorage,AK,99507-1033,3,,,,,430.0,8,,,,,,,,1.0,,,,,,,0.6903
68,Empire Beauty School-Tucson,Tucson,AZ,85716,3,,,,,118.0,6,,,,,,,,1.0,,,,,,,0.0
69,Thunderbird School of Global Management,Glendale,AZ,85306-6000,1,,,,,,6,,,,,,,,,,,,,,,
70,American Institute of Trucking,Phoenix,AZ,85043-4380,3,,,,,244.0,6,,,,,,,,1.0,,,,,,,0.0056
71,Carrington College-Phoenix North,Phoenix,AZ,85051-4063,3,0.7062,,,,519.0,6,,,,,,,,2.0,,,,,,,0.1866
72,Carrington College-Mesa,Mesa,AZ,85210,3,0.553,,,,500.0,6,,,,,,,,2.0,,,,,,,0.2512
73,Carrington College-Tucson,Tucson,AZ,85745,3,0.9451,,,,269.0,6,,,,,,,,2.0,,,,,,,0.1887
74,CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,2,,,16968.0,16968.0,78.0,6,,,,,,,,1.0,,,,,,,
75,Arizona Academy of Beauty-East,Tucson,AZ,85712,3,,,,,54.0,6,,,,,,,,1.0,,,,,,,0.5455
76,Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,85301-3579,3,,,,,785.0,6,,,,,,,,1.0,,,,,,,0.5463
77,Brookline College-Phoenix,Phoenix,AZ,85021,3,,,,,1056.0,6,,,,,,,,1.0,,,,,,,
78,Arizona State University-Tempe,Tempe,AZ,85287,1,0.8415,1235.0,10792.0,27372.0,42181.0,6,,,,,,,,2.0,,,,,,,
79,Arizona Western College,Yuma,AZ,85365-8834,1,,,2660.0,9650.0,6879.0,6,,,,,,,,1.0,,,,,,,0.0882
80,University of Arizona,Tucson,AZ,85721-0066,1,0.8358,,11877.0,35307.0,33428.0,6,,,,,,,,2.0,,,,,,,
81,Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,3,,,23044.0,23044.0,125.0,6,,,,,,,,1.0,,,,,,,
82,Central Arizona College,Coolidge,AZ,85128-9030,1,,,2580.0,11100.0,4822.0,6,,,,,,,,1.0,,,,,,,0.153
83,Charles of Italy Beauty College,Lake Havasu City,AZ,86403,3,,,,,51.0,6,,,,,,,,1.0,,,,,,,0.2667
84,Cochise County Community College District,Sierra Vista,AZ,85635-2317,1,,,1968.0,6240.0,3528.0,6,,,,,,,,1.0,,,,,,,0.1519
85,Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,3,,,,,37.0,6,,,,,,,,1.0,,,,,,,0.0
86,Empire Beauty School-Chandler,Chandler,AZ,85224,3,,,,,66.0,6,,,,,,,,1.0,,,,,,,0.0
87,Cortiva Institute-Tucson,Tucson,AZ,85710,3,,,,,79.0,6,,,,,,,,1.0,,,,,,,0.7857
88,Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,3,,,,,298.0,6,,,,,,,,1.0,,,,,,,0.6309
89,Eastern Arizona College,Thatcher,AZ,85552-0769,1,,,2550.0,11250.0,3729.0,6,,,,,,,,1.0,,,,,,,0.2692
90,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,2,0.7652,1245.0,34662.0,34662.0,2598.0,6,,,,,,,,2.0,,,,,,,
91,School of Architecture at Taliesin,Scottsdale,AZ,85259,2,,,,,,6,,,,,,,,,,,,,,,
92,Glendale Community College,Glendale,AZ,85302,1,,,2094.0,7878.0,14609.0,6,,,,,,,,1.0,,,,,,,0.0737
93,Grand Canyon University,Phoenix,AZ,85017,3,0.6692,,17050.0,17050.0,48666.0,6,,,,,,,,2.0,,,,,,,
94,GateWay Community College,Phoenix,AZ,85034,1,,,2094.0,7878.0,4365.0,6,,,,,,,,1.0,,,,,,,0.0993
95,Mesa Community College,Mesa,AZ,85202,1,,,2094.0,7878.0,15759.0,6,,,,,,,,1.0,,,,,,,0.0757
96,Mohave Community College,Kingman,AZ,86409-1238,1,,,2112.0,6972.0,2875.0,6,,,,,,,,1.0,,,,,,,0.1349
97,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,3,,,,,1020.0,6,,,,,,,,1.0,,,,,,,0.3937
98,Dine College,Tsaile,AZ,86556,1,,,1410.0,1410.0,1363.0,6,,,,,,,,1.0,,,,,,,
99,Northern Arizona University,Flagstaff,AZ,86011-4092,1,0.8085,,11059.0,24841.0,26974.0,6,,,,,,,,2.0,,,,,,,
100,Northland Pioneer College,Holbrook,AZ,86025-0610,1,,,1808.0,8360.0,1453.0,6,,,,,,,,1.0,,,,,,,0.1528
101,Ottawa University-Phoenix,Phoenix,AZ,85021,2,,,,,329.0,6,,,,,,,,1.0,,,,,,,
102,Phoenix College,Phoenix,AZ,85013,1,,,2094.0,7878.0,9147.0,6,,,,,,,,1.0,,,,,,,0.0943
103,Cortiva Institute-Scottsdale,Scottsdale,AZ,85257,3,,,,,82.0,6,,,,,,,,1.0,,,,,,,0.76
104,Pima Community College,Tucson,AZ,85709-1275,1,,,2118.0,7434.0,20165.0,6,,,,,,,,1.0,,,,,,,0.0752
105,Pima Medical Institute-Tucson,Tucson,AZ,85716,3,,,,,2300.0,6,,,,,,,,1.0,,,,,,,
106,Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,3,,,,,820.0,6,,,,,,,,1.0,,,,,,,0.3663
107,Prescott College,Prescott,AZ,86301,2,0.9526,1132.0,30501.0,30501.0,350.0,6,,,,,,,,2.0,,,,,,,
108,Refrigeration School Inc,Phoenix,AZ,85034-1816,3,,,,,732.0,6,,,,,,,,1.0,,,,,,,0.476
109,Rio Salado College,Tempe,AZ,85281,1,,,2094.0,7878.0,6086.0,6,,,,,,,,1.0,,,,,,,0.0973
110,Roberto-Venn School of Luthiery,Phoenix,AZ,85007,3,,,,,24.0,6,,,,,,,,1.0,,,,,,,0.7143
111,Hair Academy of Safford,Safford,AZ,85546,3,,,,,38.0,6,,,,,,,,1.0,,,,,,,0.2609
112,Scottsdale Community College,Scottsdale,AZ,85256,1,,,2094.0,7878.0,6025.0,6,,,,,,,,1.0,,,,,,,0.0956
113,South Mountain Community College,Phoenix,AZ,85042,1,,,2094.0,7878.0,3167.0,6,,,,,,,,1.0,,,,,,,0.1231
114,Arizona Christian University,Phoenix,AZ,85032-7097,2,0.6444,956.0,24958.0,24958.0,696.0,6,,,,,,,,2.0,,,,,,,
115,Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,3,,,,,1860.0,6,,,,,,,,1.0,,,,,,,0.2482
116,Western International University,Tempe,AZ,85282,3,,,6000.0,6000.0,597.0,6,,,,,,,,1.0,,,,,,,
117,Empire Beauty School-NW Phoenix,Phoenix,AZ,85051,3,,,,,109.0,6,,,,,,,,1.0,,,,,,,0.0
118,Yavapai College,Prescott,AZ,86301,1,,,2280.0,8976.0,4682.0,6,,,,,,,,1.0,,,,,,,0.1693
119,University of Arkansas at Little Rock,Little Rock,AR,72204,1,0.7463,1105.0,8998.0,21208.0,6677.0,5,,,,,,,,2.0,,,,,,,
120,University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,1,,,,,633.0,5,,,,,,,,,,,,,,,
121,Arkansas Baptist College,Little Rock,AR,72202-6068,2,,,8760.0,8760.0,593.0,5,,,,,,,,1.0,,,,,,,
122,Arkansas Beauty School-Little Rock,Little Rock,AR,72209,3,,,,,129.0,5,,,,,,,,1.0,,,,,,,0.0
123,Arkansas Beauty College,Russellville,AR,72801,3,,,,,27.0,5,,,,,,,,1.0,,,,,,,0.4
124,Lyon College,Batesville,AR,72501,2,0.6418,1202.0,27340.0,27340.0,664.0,5,,,,,,,,2.0,,,,,,,
125,Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,3,,,,,127.0,5,,,,,,,,1.0,,,,,,,0.6818
126,Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-3342,3,,,,,41.0,5,,,,,,,,1.0,,,,,,,0.0435
127,University of Arkansas,Fayetteville,AR,72701,1,0.6596,1239.0,9062.0,24308.0,22763.0,5,,,,,,,,2.0,,,,,,,
128,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,1,0.4669,951.0,7408.0,13738.0,2510.0,5,,,,,,,,2.0,,,,,,,
129,Arkansas State University-Beebe,Beebe,AR,72012-1000,1,,,3570.0,5730.0,2645.0,5,,,,,,,,1.0,,,,,,,0.2248
130,Arkansas State University-Main Campus,Jonesboro,AR,72401,1,0.6602,1165.0,8478.0,14778.0,8856.0,5,,,,,,,,2.0,,,,,,,
131,Arkansas Tech University,Russellville,AR,72801-2222,1,0.9475,,7104.0,12528.0,8247.0,5,,,,,,,,2.0,,,,,,,
132,University of Arkansas at Monticello,Monticello,AR,71656,1,,,7462.0,13312.0,2589.0,5,,,,,,,,1.0,,,,,,,
133,Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076,3,,,,,59.0,5,,,,,,,,1.0,,,,,,,0.1489
134,Baptist Health College Little Rock,Little Rock,AR,72210-2827,2,0.6875,1125.0,9867.0,9867.0,676.0,5,,,,,,,,2.0,,,,,,,0.2963
135,Black River Technical College,Pocahontas,AR,72455,1,,,3120.0,5448.0,1216.0,5,,,,,,,,1.0,,,,,,,0.1846
136,University of Central Arkansas,Conway,AR,72035-0001,1,0.8995,1175.0,8524.0,15047.0,9034.0,5,,,,,,,,2.0,,,,,,,
137,Central Baptist College,Conway,AR,72034,2,0.6755,1027.0,15750.0,15750.0,676.0,5,,,,,,,,2.0,,,,,,,
138,Cossatot Community College of the University of Arkansas,De Queen,AR,71832,1,,,3210.0,4080.0,955.0,5,,,,,,,,1.0,,,,,,,0.2717
139,Crowley's Ridge College,Paragould,AR,72450,2,,,12250.0,12250.0,192.0,5,,,,,,,,1.0,,,,,,,
140,Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,1,,,1350.0,1350.0,164.0,5,,,,,,,,1.0,,,,,,,0.2951
141,East Arkansas Community College,Forrest City,AR,72335-2204,1,,,2850.0,3660.0,565.0,5,,,,,,,,1.0,,,,,,,0.1535
142,Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,3,,,,,115.0,5,,,,,,,,1.0,,,,,,,0.3386
143,Imagine-Paul Mitchell Partner School,North Little Rock,AR,72117,3,,,,,385.0,5,,,,,,,,1.0,,,,,,,0.125
144,National Park College,Hot Springs,AR,71913,1,,,3450.0,4950.0,2140.0,5,,,,,,,,1.0,,,,,,,0.1374
145,University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,1,,,2466.0,4218.0,954.0,5,,,,,,,,1.0,,,,,,,0.4978
146,Harding University,Searcy,AR,72149-5615,2,0.7212,1203.0,19385.0,19385.0,4147.0,5,,,,,,,,2.0,,,,,,,
147,Henderson State University,Arkadelphia,AR,71999-0001,1,0.7968,1102.0,8530.0,10180.0,2829.0,5,,,,,,,,2.0,,,,,,,
148,Hendrix College,Conway,AR,72032-3080,2,0.798,1295.0,44070.0,44070.0,1233.0,5,,,,,,,,2.0,,,,,,,
149,Hot Springs Beauty College,Hot Springs,AR,71901,3,,,,,38.0,5,,,,,,,,1.0,,,,,,,0.1111
150,Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,2,,,,,65.0,5,,,,,,,,,,,,,,,
151,John Brown University,Siloam Springs,AR,72761,2,0.7579,1256.0,26144.0,26144.0,1606.0,5,,,,,,,,2.0,,,,,,,
152,Career Academy of Hair Design,Springdale,AR,72764-7128,3,,,,,169.0,5,,,,,,,,1.0,,,,,,,0.4195
153,Academy of Salon and Spa,Fort Smith,AR,72901,3,,,,,58.0,5,,,,,,,,1.0,,,,,,,0.0
154,Arkansas State University Mid-South,West Memphis,AR,72301-3829,1,,,2674.0,4114.0,873.0,5,,,,,,,,1.0,,,,,,,0.1405
155,Arkansas Northeastern College,Blytheville,AR,72316-1109,1,,,2290.0,3970.0,1002.0,5,,,,,,,,1.0,,,,,,,0.1676
156,New Tyler Barber College Inc,North Little Rock,AR,72114-4973,3,,,,,50.0,5,,,,,,,,1.0,,,,,,,0.175
157,North Arkansas College,Harrison,AR,72601-5508,1,,,2208.0,4560.0,1466.0,5,,,,,,,,1.0,,,,,,,0.2006
158,Northwest Technical Institute,Springdale,AR,72764,1,,,2321.0,2321.0,175.0,5,,,,,,,,1.0,,,,,,,0.2143
159,Ouachita Baptist University,Arkadelphia,AR,71998-0001,2,0.7094,1186.0,25870.0,25870.0,1513.0,5,,,,,,,,2.0,,,,,,,
160,College of the Ouachitas,Malvern,AR,72104-0816,1,,,3680.0,6530.0,642.0,5,,,,,,,,1.0,,,,,,,0.1724
161,Ozarka College,Melbourne,AR,72556-0010,1,,,2932.0,5284.0,852.0,5,,,,,,,,1.0,,,,,,,0.2381
162,University of the Ozarks,Clarksville,AR,72830,2,0.8915,1047.0,23750.0,23750.0,745.0,5,,,,,,,,2.0,,,,,,,
163,University of Arkansas Community College-Morrilton,Morrilton,AR,72110,1,0.7506,,3092.0,4004.0,1796.0,5,,,,,,,,2.0,,,,,,,0.19
164,Philander Smith College,Little Rock,AR,72202-3799,2,,,12714.0,12714.0,887.0,5,,,,,,,,1.0,,,,,,,
165,Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,1,,,2810.0,4610.0,654.0,5,,,,,,,,1.0,,,,,,,0.2162
166,Southeast Arkansas College,Pine Bluff,AR,71603,1,,,3460.0,6280.0,1087.0,5,,,,,,,,1.0,,,,,,,0.0415
167,Professional Cosmetology Education Center,El Dorado,AR,71730-4009,3,,,,,28.0,5,,,,,,,,1.0,,,,,,,0.8462
168,University of Arkansas-Pulaski Technical College,North Little Rock,AR,72118-3347,1,,,5170.0,6340.0,5184.0,5,,,,,,,,1.0,,,,,,,0.0803
169,University of Arkansas Community College-Hope,Hope,AR,71801,1,,,2740.0,5260.0,1492.0,5,,,,,,,,1.0,,,,,,,0.2063
170,University of Arkansas Community College Rich Mountain,Mena,AR,71953,1,,,2688.0,5640.0,481.0,5,,,,,,,,1.0,,,,,,,0.175
171,Paul Mitchell the School-Arkansas,Fayetteville,AR,72703,3,,,,,106.0,5,,,,,,,,1.0,,,,,,,0.1818
172,Searcy Beauty College,Searcy,AR,72143,3,,,,,67.0,5,,,,,,,,1.0,,,,,,,0.125
173,Shorter College,N Little Rock,AR,72114,2,,,4904.0,4904.0,521.0,5,,,,,,,,1.0,,,,,,,0.0833
174,Williams Baptist University,Walnut Ridge,AR,72476,2,0.6241,1030.0,17320.0,17320.0,452.0,5,,,,,,,,2.0,,,,,,,
175,South Arkansas Community College,El Dorado,AR,71731-7010,1,,,2628.0,4764.0,1100.0,5,,,,,,,,1.0,,,,,,,0.0647
176,Southern Arkansas University Main Campus,Magnolia,AR,71753,1,0.6945,1102.0,8346.0,12156.0,3153.0,5,,,,,,,,2.0,,,,,,,
177,Southern Arkansas University Tech,Camden,AR,71701-1906,1,,,4810.0,6250.0,667.0,5,,,,,,,,1.0,,,,,,,0.4091
178,Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,3,,,,,14.0,5,,,,,,,,1.0,,,,,,,0.4286
179,University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,1,,,5577.0,12650.0,5455.0,5,,,,,,,,1.0,,,,,,,
180,Academy of Art University,San Francisco,CA,94105,3,,,21252.0,21252.0,7520.0,8,,,,,,,,1.0,,,,,,,
181,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,2,,,,,,8,,,,,,,,,,,,,,,
182,The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647,3,,,,,14.0,8,,,,,,,,1.0,,,,,,,0.7667
183,Avalon School of Cosmetology-Alameda,Alameda,CA,94501,3,,,,,125.0,8,,,,,,,,1.0,,,,,,,0.4923
184,College of Alameda,Alameda,CA,94501,1,,,1230.0,7110.0,4458.0,8,,,,,,,,1.0,,,,,,,0.1268
185,Allan Hancock College,Santa Maria,CA,93454-6399,1,,,1352.0,6784.0,9282.0,8,,,,,,,,1.0,,,,,,,0.1168
186,American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,2,0.7859,,34170.0,34170.0,280.0,8,,,,,,,,2.0,,,,,,,0.6918
187,American Baptist Seminary of the West,Berkeley,CA,94704-3029,2,,,,,,8,,,,,,,,,,,,,,,
188,American Film Institute Conservatory,Los Angeles,CA,90027-1625,2,,,,,,8,,,,,,,,,,,,,,,
189,American Beauty College,West Covina,CA,91790,3,,,,,118.0,8,,,,,,,,1.0,,,,,,,0.75
190,American Career College-Los Angeles,Los Angeles,CA,90004,3,,,,,1237.0,8,,,,,,,,1.0,,,,,,,0.3422
191,American Conservatory Theater,San Francisco,CA,94108-5834,2,,,28705.0,28705.0,1.0,8,,,,,,,,2.0,,,,,,,
192,American River College,Sacramento,CA,95841-4286,1,,,1104.0,8208.0,29082.0,8,,,,,,,,1.0,,,,,,,0.1026
193,Antelope Valley College,Lancaster,CA,93536-5426,1,,,1124.0,6500.0,11868.0,8,,,,,,,,1.0,,,,,,,
194,Art Center College of Design,Pasadena,CA,91103,2,0.7036,,42008.0,42008.0,1974.0,8,,,,,,,,2.0,,,,,,,
195,Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,3,,,,,387.0,8,,,,,,,,1.0,,,,,,,0.564
196,Associated Technical College-San Diego,San Diego,CA,92101,3,,,,,80.0,8,,,,,,,,1.0,,,,,,,0.4958
197,Azusa Pacific University,Azusa,CA,91702-7000,2,0.6012,1131.0,37506.0,37506.0,5560.0,8,,,,,,,,2.0,,,,,,,
198,Bakersfield College,Bakersfield,CA,93305-1299,1,,,1325.0,7261.0,18695.0,8,,,,,,,,1.0,,,,,,,
199,Barstow Community College,Barstow,CA,92311,1,,,1104.0,6720.0,2762.0,8,,,,,,,,1.0,,,,,,,0.0653
200,Bellus Academy-Chula Vista,Chula Vista,CA,91911,3,,,,,200.0,8,,,,,,,,1.0,,,,,,,0.0
201,Bethesda University,Anaheim,CA,92801,2,,,7898.0,7898.0,257.0,8,,,,,,,,1.0,,,,,,,
202,Biola University,La Mirada,CA,90639-0001,2,0.7198,1186.0,38448.0,38448.0,4039.0,8,,,,,,,,2.0,,,,,,,
203,Brownson Technical School,Anaheim,CA,92805,3,,,,,51.0,8,,,,,,,,1.0,,,,,,,0.7226
